strike,symbol,right,multiplier,expiration,bid,ask,undPrice,modelDelta,modelGamma,modelIV,modelPrice,modelTheta,modelVega
140,AAPL,P,100,20220603,,,145.0375061,-0.327719629,0.028086983,0.402227291,2.919454627,-0.129693913,0.120616586
145,AAPL,P,100,20220603,4.6,4.65,145.0599976,-0.479623822,0.032985788,0.378065622,4.786644652,-0.134058398,0.128021079
150,AAPL,P,100,20220603,,,145.0599976,-0.648590982,0.032629193,0.355782075,7.48873146,-0.116529891,0.115713291
155,AAPL,P,100,20220603,10.6,10.75,145.0950012,-0.798773286,0.025957181,0.339221422,11.04784513,-0.082982068,0.088906275
160,AAPL,P,100,20220603,14.85,15.05,145.0827026,-0.902320834,0.016482319,0.332305186,15.35617603,-0.048840401,0.057661242
165,AAPL,P,100,20220603,19.5,19.75,145.1199951,-0.953742832,0.009344525,0.340128435,20.05109792,-0.027242442,0.031337713
170,AAPL,P,100,20220603,24.4,24.6,145.1950073,-0.975571837,0.005497157,0.361736252,24.88302895,-0.016627253,0.021026848
175,AAPL,P,100,20220603,29.35,29.6,145.1600037,-0.987106388,0.003309539,0.385297672,29.87412059,-0.00987059,0.013036884
180,AAPL,P,100,20220603,34.35,34.6,145.0950012,-0.992036449,0.002246194,0.415242201,34.92328965,-0.006716265,0.007825455
185,AAPL,P,100,20220603,39.35,39.6,145.1300049,-0.996299088,0.001462016,0.434927521,39.87576953,-0.003386626,0.003848475
190,AAPL,P,100,20220603,44.35,44.6,145.1699982,-0.997086611,0.001195793,0.472597514,44.83433805,-0.002990118,0.003590085
195,AAPL,P,100,20220603,49.35,49.6,145.1999969,-0.998649002,0.000793344,0.496857563,49.80128246,-0.001279413,0.001483991
100,AAPL,P,100,20220610,0.09,0.1,145.25,-0.010204804,0.001111156,0.643834103,0.089977268,-0.013271759,0.011341839
105,AAPL,P,100,20220610,0.14,0.15,145.25,-0.016782686,0.001800536,0.610488494,0.148482188,-0.019327572,0.014263011
110,AAPL,P,100,20220610,0.23,0.24,145.2550049,-0.025702145,0.002763337,0.569897625,0.224016732,-0.025837195,0.021282272
115,AAPL,P,100,20220610,0.35,0.36,145.2250061,-0.041240507,0.004327897,0.537944347,0.362350922,-0.036017647,0.031336963
120,AAPL,P,100,20220610,,,145.2299957,-0.06287292,0.006514621,0.500079026,0.548894023,-0.046816744,0.044241625
125,AAPL,P,100,20220610,,,145.1799927,-0.099411901,0.009811019,0.471365336,0.888197625,-0.062534278,0.067942365
130,AAPL,P,100,20220610,1.42,1.43,145.2478943,-0.15270515,0.014115064,0.441362832,1.409654702,-0.078838515,0.095172394
135,AAPL,P,100,20220610,2.27,2.28,145.2649994,-0.233755308,0.019232027,0.4204875,2.314194117,-0.097330262,0.11406364
140,AAPL,P,100,20220610,3.55,3.6,145.2100067,-0.340791337,0.024479866,0.396020736,3.624085408,-0.109480303,0.142122301
145,AAPL,P,100,20220610,5.4,5.45,145.2100067,-0.472463643,0.028237998,0.373785622,5.505110529,-0.111980626,0.150868278
150,AAPL,P,100,20220610,7.9,8.05,145.1900024,-0.618713547,0.028622396,0.35294039,8.125001632,-0.100339409,0.147691803
155,AAPL,P,100,20220610,11.2,11.4,145.1999969,-0.756783097,0.024775659,0.33608543,11.49083746,-0.0775759,0.122971537
160,AAPL,P,100,20220610,15.2,15.45,145.3000031,-0.860470694,0.018167908,0.327859571,15.49051589,-0.052718321,0.086816622
165,AAPL,P,100,20220610,19.75,20.05,145.3399963,-0.926303237,0.01170296,0.328054189,20.00291107,-0.032304876,0.051640187
170,AAPL,P,100,20220610,24.55,24.8,145.4450073,-0.960253194,0.007297996,0.33846519,24.71040292,-0.019826182,0.036423344
175,AAPL,P,100,20220610,29.45,29.75,145.4299927,-0.978044112,0.0046054,0.355580639,29.64170971,-0.0122681,0.023896446
180,AAPL,P,100,20220610,34.5,34.8,145.5200043,-0.986700597,0.00315012,0.376137887,34.51681479,-0.008159165,0.014964186
